ORGANIZATION_NAME,SECTOR,OCCUPIED_BEDS,UNOCCUPIED_BEDS
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
Native Child & Family Services Toronto,Youth,11,1
City of Toronto,Men,44,4
City of Toronto,Men,44,4
City of Toronto,Men,44,4
Women's Hostels Inc.,Women,11,1
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Fred Victor Centre,Women,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Good Shepherd Ministries,Men,23,2
Eva's Initiatives,Youth,46,4
Dixon Hall,Mixed Adult,138,12
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Fred Victor Centre,Women,24,2
Dixon Hall,Mixed Adult,37,3
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
City of Toronto,Men,63,5
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
YouthLink,Youth,38,3
Fred Victor Centre,Mixed Adult,64,5
Fred Victor Centre,Mixed Adult,64,5
Fred Victor Centre,Mixed Adult,64,5
Fred Victor Centre,Mixed Adult,64,5
Fred Victor Centre,Mixed Adult,64,5
Covenant House Toronto,Youth,26,2
Covenant House Toronto,Youth,26,2
Covenant House Toronto,Youth,26,2
Covenant House Toronto,Youth,26,2
Fred Victor Centre,Mixed Adult,39,3
Fred Victor Centre,Mixed Adult,65,5
Fred Victor Centre,Mixed Adult,65,5
Covenant House Toronto,Youth,28,2
Covenant House Toronto,Youth,28,2
Covenant House Toronto,Youth,28,2
Fred Victor Centre,Mixed Adult,56,4
Native Child & Family Services Toronto,Youth,14,1
Dixon Hall,Mixed Adult,43,3
Dixon Hall,Mixed Adult,43,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
City of Toronto,Men,45,3
Sistering: A Women's Place,Women,15,1
Sistering: A Women's Place,Women,15,1
Sistering: A Women's Place,Women,15,1
Sistering: A Women's Place,Women,15,1
Sistering: A Women's Place,Women,15,1
Youth Without Shelter,Youth,31,2
Eva's Initiatives,Youth,47,3
City of Toronto,Men,64,4
City of Toronto,Men,64,4
City of Toronto,Men,64,4
City of Toronto,Men,64,4
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Na-Me-Res (Native Men's Residence),Men,16,1
Fred Victor Centre,Mixed Adult,64,4
Fred Victor Centre,Mixed Adult,64,4
Fred Victor Centre,Mixed Adult,113,7
Fred Victor Centre,Mixed Adult,65,4
Fred Victor Centre,Mixed Adult,65,4
Fred Victor Centre,Women,49,3
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
City of Toronto,Mixed Adult,33,2
Fred Victor Centre,Mixed Adult,66,4
Fred Victor Centre,Mixed Adult,66,4
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
City of Toronto,Men,34,2
Christie Ossington Neighbourhood Centre,Mixed Adult,17,1
Fred Victor Centre,Women,35,2
Fred Victor Centre,Women,35,2
Fred Victor Centre,Mixed Adult,141,8
City of Toronto,Men,18,1
City of Toronto,Men,18,1
Christie Ossington Neighbourhood Centre,Mixed Adult,18,1
Dixon Hall,Mixed Adult,74,4
Fred Victor Centre,Mixed Adult,113,6
Eva's Initiatives,Youth,38,2
Fred Victor Centre,Mixed Adult,57,3
Fred Victor Centre,Mixed Adult,57,3
Fred Victor Centre,Mixed Adult,57,3
Christie Ossington Neighbourhood Centre,Mixed Adult,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
Youth Without Shelter,Youth,19,1
YouthLink,Youth,39,2
Christie Ossington Neighbourhood Centre,Mixed Adult,20,1
Christie Ossington Neighbourhood Centre,Mixed Adult,20,1
City of Toronto,Men,65,3
City of Toronto,Men,65,3
City of Toronto,Men,65,3
City of Toronto,Men,65,3
Dixon Hall,Mixed Adult,44,2
Dixon Hall,Mixed Adult,44,2
Dixon Hall,Mixed Adult,44,2
Dixon Hall,Mixed Adult,44,2
Christie Ossington Neighbourhood Centre,Mixed Adult,22,1
Christie Ossington Neighbourhood Centre,Mixed Adult,22,1
Christie Ossington Neighbourhood Centre,Mixed Adult,22,1
Christie Ossington Neighbourhood Centre,Mixed Adult,22,1
Christie Ossington Neighbourhood Centre,Mixed Adult,22,1
Fred Victor Centre,Mixed Adult,67,3
City of Toronto,Mixed Adult,46,2
City of Toronto,Mixed Adult,46,2
City of Toronto,Mixed Adult,46,2
Society of St.Vincent De Paul,Women,23,1
Society of St.Vincent De Paul,Women,23,1
Society of St.Vincent De Paul,Women,23,1
City of Toronto,Men,46,2
City of Toronto,Men,46,2
City of Toronto,Men,46,2
