PROPERTY TYPE,YEAR BUILT,CONFIRMED UNITS,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
PRIVATE,1974,169,80,43.7657384442,-79.5109534837
SOCIAL HOUSING,1992,10,80,43.674876223,-79.429093939
PRIVATE,1905,16,81,43.672764209,-79.2883036582
PRIVATE,1921,13,81,43.663704356,-79.327142442
PRIVATE,1925,15,81,43.6803978497,-79.286124564
PRIVATE,1927,20,81,43.6703285166,-79.302100905
PRIVATE,1930,46,81,43.6873886469,-79.4223427951
PRIVATE,1930,25,81,43.708337092,-79.392297556
PRIVATE,1938,32,81,43.68592338,-79.418139695
PRIVATE,1941,41,81,43.725849397,-79.401345968
TCHC,1948,48,81,43.66223715,-79.361553726
PRIVATE,1950,11,81,43.690864521,-79.265477585
PRIVATE,1950,14,81,43.704214042,-79.373842189
PRIVATE,1950,16,81,43.7508224875,-79.4620209197
PRIVATE,1953,38,81,43.6655032213,-79.5211831074
PRIVATE,1954,26,81,43.721948279,-79.433346456
PRIVATE,1954,54,81,43.7303493806,-79.3045356684
PRIVATE,1956,24,81,43.637708415,-79.493537791
PRIVATE,1956,11,81,43.6831377116,-79.4805570748
TCHC,1957,31,81,43.719074422,-79.441290791
PRIVATE,1957,12,81,43.731256414,-79.438819074
PRIVATE,1960,63,81,43.6684734257,-79.4081015431
TCHC,1960,42,81,43.682986595,-79.311994302
PRIVATE,1960,77,81,43.7029007633,-79.3484372243
TCHC,1961,25,81,43.662525313,-79.371459917
PRIVATE,1961,47,81,43.6991965655,-79.478055589
PRIVATE,1962,81,81,43.7607627903,-79.3217087274
PRIVATE,1965,371,81,43.644918456,-79.435885913
PRIVATE,1965,11,81,43.7307766314,-79.4372931994
PRIVATE,1965,153,81,43.7388442337,-79.578720865
PRIVATE,1966,243,81,43.750896864,-79.31418886
PRIVATE,1967,25,81,43.646232595,-79.473567835
PRIVATE,1968,188,81,43.6724874723,-79.4924156199
PRIVATE,1968,121,81,43.678668475,-79.550611679
PRIVATE,1968,86,81,43.695129788,-79.4469525657
PRIVATE,1968,80,81,43.723649067,-79.492914942
PRIVATE,1968,305,81,43.763477245,-79.345900416
PRIVATE,1970,38,81,43.6433287042,-79.4525126324
TCHC,1970,719,81,43.6680628106,-79.3736609333
PRIVATE,1970,39,81,43.711262957,-79.3919924
TCHC,1970,238,81,43.753748768,-79.48953565
PRIVATE,1971,11,81,43.7001107344,-79.2530513006
TCHC,1971,188,81,43.7543465007,-79.5161715175
SOCIAL HOUSING,1972,96,81,43.675546866,-79.398129089
PRIVATE,1972,466,81,43.7243235641,-79.5147486407
TCHC,1973,16,81,43.790919576,-79.368770753
PRIVATE,1974,201,81,43.7682616864,-79.348101055
PRIVATE,1975,114,81,43.7631364672,-79.2079803013
SOCIAL HOUSING,1987,39,81,43.638479863,-79.428775043
SOCIAL HOUSING,1987,97,81,43.680524762,-79.3102839398
TCHC,2006,47,81,43.662405994,-79.360720129
SOCIAL HOUSING,2009,30,81,43.6870772647,-79.4223633104
TCHC,1973,16,81,43.791324582,-79.369928562
PRIVATE,1910,10,82,43.678231531,-79.440608667
PRIVATE,1927,19,82,43.691667031,-79.396207889
PRIVATE,1928,12,82,43.6691053883,-79.2911282812
PRIVATE,1940,15,82,43.6783240562,-79.2996212727
PRIVATE,1949,11,82,43.742014423,-79.4373039157
PRIVATE,1950,10,82,43.7104582053,-79.4787969775
PRIVATE,1951,12,82,43.7114376749,-79.3078956606
PRIVATE,1952,27,82,43.6369236012,-79.4910603874
PRIVATE,1952,109,82,43.709488115,-79.402619009
PRIVATE,1954,71,82,43.691392389,-79.392540864
PRIVATE,1955,13,82,43.592642046,-79.527957262
PRIVATE,1955,42,82,43.6869765748,-79.4221588918
PRIVATE,1956,12,82,43.7299426047,-79.4600970756
PRIVATE,1956,11,82,43.7424088558,-79.4365679178
PRIVATE,1957,17,82,43.6748716677,-79.2794749048
PRIVATE,1957,25,82,43.7031541679,-79.4167347676
TCHC,1957,31,82,43.722049816,-79.445755583
PRIVATE,1957,12,82,43.731503933,-79.438923714
TCHC,1959,106,82,43.64915521,-79.432415582
PRIVATE,1959,187,82,43.6979738679,-79.4763948236
PRIVATE,1959,117,82,43.749436556,-79.548159932
PRIVATE,1960,30,82,43.639823941,-79.451749578
PRIVATE,1960,76,82,43.7025432153,-79.3472542795
