Website Name,Sessions,Views,Avg View Time (Sec),Bounce Rate %
Child Care & Before-after School Program Locator||www.toronto.ca/community-people/children-parenting/children-programs-activities/licensed-child-care/child-care-locator/,94525,119607,146.70446902278826,0.2037344617825972
Facility Classifications And Ratings - City Of Toronto||www.toronto.ca/data/parks/prd/facilities/ratings/index.html,93628,134139,104.25323881691519,0.04922672704746443
Towaste App||www.toronto.ca/services-payments/recycling-organics-garbage/towaste-app/,93383,105845,169.72740093075728,0.5481297452427101
Household Hazardous Waste||www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/,93228,109358,95.50765204528645,0.4408332260694212
Licence & Permit Online Application||www.toronto.ca/business-economy/new-businesses-startups/business-regulations/business-licences-permits-application-portal/,92770,127586,324.2576459204479,0.40984154360245767
Road Restrictions & Closures||www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/,90553,102537,29.665042862974556,0.25516548319768534
"Recycling, Organics & Garbage||www.toronto.ca/services-payments/recycling-organics-garbage/",90147,110303,34.78952587736696,0.08315307220428855
Free & Lower-cost Recreation Options||www.toronto.ca/explore-enjoy/recreation/free-lower-cost-recreation-options/,89711,118609,85.44698737822367,0.14633656965143627
Garbage Bin Sizes & Fees||www.toronto.ca/services-payments/recycling-organics-garbage/houses/garbage-bin-sizes-fees/,89676,107784,169.36164836072342,0.3332329720326509
Licensed Child Care||www.toronto.ca/community-people/children-parenting/children-programs-activities/licensed-child-care/,89477,116709,40.166896357472666,0.11399577545067448
Waste Reduction||www.toronto.ca/services-payments/recycling-organics-garbage/long-term-waste-strategy/waste-reduction/,88122,95614,152.0100995527341,0.8329815483080275
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/2012/index.html,86844,119222,162.58213807611398,0.577460734190042
Vacant Home Tax Notice Of Complaint||www.toronto.ca/services-payments/property-taxes-utilities/vacant-home-tax/vacant-home-tax-notice-of-complaint/,86577,120699,293.4277674488719,0.168231747461797
Path – Toronto's Downtown Pedestrian Walkway||www.toronto.ca/explore-enjoy/visitor-toronto/path-torontos-downtown-pedestrian-walkway/,85634,96678,237.40741249142073,0.8455403227689936
Immunization||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/immunization/,85469,103270,69.98234403901127,0.3937802010085528
"Registered Programs Map - Fun Guide Search - Parks, Forestry & Recreation | City Of Toronto||www.toronto.ca/data/parks/funguide/map/index.html",85431,116489,258.2626945817867,0.1685687865060692
Sexual Health Clinics||www.toronto.ca/community-people/health-wellness-care/health-clinics/sexual-health-clinics/,85351,100210,302.49887880405765,0.7905824184836733
Apply For A Child Care Fee Subsidy||www.toronto.ca/community-people/employment-social-support/child-family-support/child-care-support/paying-your-fees-to-the-child-care-program/,85282,102268,181.1276381548197,0.32383152365094625
Monthly Ontario Works Amounts||www.toronto.ca/community-people/employment-social-support/employment-support/employment-seekers-in-financial-need/ontario-works-rates/,84581,96119,234.26989547328532,0.688263321549757
Dinesafe||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/food-safety/dinesafe/,84505,109843,138.08341325405198,0.615135199100645
Inquiry & Payment Counters||www.toronto.ca/services-payments/property-taxes-utilities/inquiry-payment-counters/,83549,95357,125.22505717916137,0.13164729679589224
Live Green Toronto||www.toronto.ca/services-payments/water-environment/live-green-toronto/,82429,89953,58.21566726205665,0.7961397081124362
