YEAR BUILT,PROPERTY TYPE,LATITUDE,LONGITUDE,COSMETIC,HIGH,MODERATE,OVERALL
1975,TCHC,43.659289006,-79.371053711,2.2,2.3,2,75
1985,PRIVATE,43.658939704,-79.442667496,2.3,2.4,2.3,75
1994,SOCIAL HOUSING,43.6901517338,-79.2971549611,2.3,2.3,2.1,75
1997,SOCIAL HOUSING,43.6951962434,-79.4496138962,2.6,2.5,1.9,75
2024,PRIVATE,43.7744429688,-79.4417362415,3,2.2,2.3,75
1885,SOCIAL HOUSING,43.656179273,-79.40360132,2.2,2.4,2.1,76
1898,PRIVATE,43.668032007,-79.377921381,2.2,2.3,2.1,76
1905,PRIVATE,43.668834904,-79.404273749,2.3,2.4,2.1,76
1911,PRIVATE,43.649465465,-79.432097969,1.9,2.5,2,76
1913,PRIVATE,43.673375258,-79.412217812,2.6,2.4,2.1,76
1916,SOCIAL HOUSING,43.682380018,-79.417661578,2,2.3,2.3,76
1919,PRIVATE,43.668063591,-79.413898107,1.3,2.5,2.1,76
1920,PRIVATE,43.6726703072,-79.2866950453,0.8,2.8,1.8,76
1925,PRIVATE,43.6684598397,-79.3083945127,2.1,2.2,2.3,76
1926,PRIVATE,43.688051395,-79.424138728,2.3,2.2,2.3,76
1929,PRIVATE,43.6795067205,-79.4348853708,2.1,2.5,2,76
1950,PRIVATE,43.6807571729,-79.4354334131,2.4,2.3,2.2,76
1950,PRIVATE,43.69095169,-79.470613783,2,2.2,2.5,76
1950,PRIVATE,43.702036304,-79.253210017,2.7,2.1,2.4,76
1951,PRIVATE,43.616030813,-79.489670649,1.1,2.6,2.2,76
1952,PRIVATE,43.733057329,-79.435090946,2.4,2.2,2.4,76
1952,PRIVATE,43.68757738,-79.348481091,2.2,2.5,2.1,76
1952,PRIVATE,43.6972925811,-79.3074870563,1.8,2.3,2.3,76
1955,PRIVATE,43.686548252,-79.422644195,1.8,2.4,2.2,76
1955,PRIVATE,43.7385844843,-79.4263900069,1.6,2.5,2.1,76
1956,PRIVATE,43.7503482219,-79.4375870637,2.5,2.2,2.3,76
1956,PRIVATE,43.72993401,-79.460093811,1.8,2.6,2.1,76
1956,PRIVATE,43.695437477,-79.296720543,2.5,2.2,2.4,76
1957,PRIVATE,43.6931177015,-79.4834759702,1.9,2.6,2.1,76
1957,PRIVATE,43.679643941,-79.434130411,2.4,2.2,2.5,76
1958,PRIVATE,43.7207964113,-79.5055990345,2.7,2.1,2.4,76
1958,PRIVATE,43.744938797,-79.435539429,2.2,2.7,1.9,76
1958,PRIVATE,43.696366279,-79.506408632,2.1,2.4,2.3,76
1958,PRIVATE,43.735937772,-79.439651849,2.2,2.5,2.1,76
1959,PRIVATE,43.7305607276,-79.3055621564,1.7,2.3,2.2,76
1960,PRIVATE,43.7305618491,-79.4356927596,2.7,2.4,2.1,76
1960,PRIVATE,43.696203167,-79.446372358,2.2,2.3,2.1,76
1960,PRIVATE,43.615859673,-79.487805207,2.6,2.3,2.3,76
1960,PRIVATE,43.7195346832,-79.5587174372,1.6,2.4,2.1,76
1961,PRIVATE,43.759469392,-79.316400861,1.3,2.6,1.9,76
1965,PRIVATE,43.693768783,-79.44615722,2.3,2.3,2.1,76
1965,PRIVATE,43.753481576,-79.453303954,2.7,2.4,2.3,76
1965,PRIVATE,43.7628388267,-79.337948675,2.4,2.3,1.9,76
1967,PRIVATE,43.6701517144,-79.3735812893,2.3,2.4,2.2,76
1970,PRIVATE,43.7511483154,-79.5114796645,2.2,2.3,2.4,76
1971,TCHC,43.6991400934,-79.5152292852,2.5,2.3,2.1,76
1975,PRIVATE,43.8047005394,-79.1654577856,2.7,2.5,1.9,76
1975,PRIVATE,43.8042090572,-79.1667368141,2.7,2.5,2,76
1987,SOCIAL HOUSING,43.662252242,-79.406937302,1.2,2.4,2.3,76
1989,SOCIAL HOUSING,43.642327783,-79.416081107,2.1,2.7,1.9,76
1991,SOCIAL HOUSING,43.6595590254,-79.3765361369,2,2.6,1.9,76
1994,SOCIAL HOUSING,43.7061669759,-79.4914250122,1.7,2.4,2.2,76
2019,SOCIAL HOUSING,43.718578814,-79.443640635,2.7,2.3,2.1,76
1900,PRIVATE,43.638769687,-79.444880485,1.8,2.5,2.2,77
1905,PRIVATE,43.668834904,-79.404273749,2.1,2.4,2.3,77
1910,SOCIAL HOUSING,43.683069933,-79.303474146,2.7,2.6,1.8,77
1912,PRIVATE,43.639607448,-79.440903239,2.2,2.5,2.1,77
1917,PRIVATE,43.671108011,-79.297992324,1.3,2.4,2.3,77
1927,PRIVATE,43.691667031,-79.396207889,2.2,2.3,2.1,77
1927,PRIVATE,43.655410321,-79.395355053,2.3,2.4,2.1,77
1930,PRIVATE,43.666846539,-79.31548812,2.1,2.5,2.3,77
1930,PRIVATE,43.7029512593,-79.3889169498,1.8,2.8,1.9,77
1930,PRIVATE,43.666831284,-79.315638971,2.1,2.2,2.5,77
1930,PRIVATE,43.702327897,-79.39779527,2.3,2.2,2.3,77
1947,PRIVATE,43.6345619465,-79.4922664925,2,2.5,2.1,77
1950,PRIVATE,43.638068798,-79.563940807,1.5,2.4,2.3,77
1950,PRIVATE,43.6934431734,-79.4823929149,1.9,2.4,2.3,77
1950,PRIVATE,43.686360032,-79.446741086,2.7,2.5,2.2,77
1951,PRIVATE,43.6576935815,-79.3718742304,2.7,2.2,2.3,77
1954,PRIVATE,43.7297667593,-79.3043160261,2,2.4,2.1,77
1954,PRIVATE,43.7193022696,-79.5173252308,2.3,2.5,2.3,77
1955,PRIVATE,43.7025056164,-79.3120345151,2.7,2.4,2.2,77
1956,PRIVATE,43.7077721579,-79.3852319597,1.9,2.5,2.1,77
1957,TCHC,43.717989875,-79.444116728,2.4,2.3,2.2,77
1958,PRIVATE,43.7208314192,-79.5060339376,2.3,2.3,2.5,77
